"Scripted F0","Natural F0"
197.645126506,194.478360775
244.909025806,237.54322043
277.912059211,264.887813449
175.125309816,149.869359026
258.305917404,197.743163972
235.919834171,213.776014306
242.822142857,238.405303519
213.713737037,211.749635371
187.14513913,205.650592
231.612964286,217.989356557
211.306574194,211.585982922
164.455866412,145.124786885
247.183724739,185.449984979
286.419193309,218.317909091
288.17118209,301.299932285
315.382731638,293.323661458
444.797374502,455.925654723
241.193868657,198.438333922
240.126360825,235.121694915
228.137503247,213.816327731
208.113429066,215.83518894
232.560451883,171.240822222
169.944308475,168.742754319
175.331331361,178.551142056
177.734102564,160.726315261
172.794023077,145.412874429
190.079306202,188.493083527
241.409468504,247.243427518
274.183517544,281.806432671
320.390673171,270.697996344
191.178338129,181.571223906
132.575598522,134.738401408
237.465134615,227.471988584
171.713913043,157.151633466
189.48620202,199.235802222
281.514523179,263.039451014
322.40033463,230.035977737
293.346449036,295.51951551
279.515418118,197.102353909
332.994636637,291.265662338
291.655779381,270.000934295
296.271192575,277.66822561
312.828536657,369.818815041
413.346636029,254.161195876
130.051180982,133.21837931
183.823689139,193.942834025
157.220714286,142.149493256
291.20600678,295.22570305
169.967673554,165.64134236
381.576306709,349.07673499
174.368411429,173.7138
209.695064394,209.796916667
262.352466135,258.40572541
325.804070288,310.146932292
339.56686036,253.124352713
333.01886692,312.904955277
227.893991684,246.627326174
248.00011745,239.637389755
541.176757447,567.375876316
452.88343254,411.68562963
284.120629747,280.732026506
287.881664032,237.24260262
295.618325203,271.589391667
307.372718987,266.177302521
195.834340476,186.875780439
160.982166667,146.432575688
145.476045045,136.994892183
181.703563739,187.304391466
272.86929863,282.337312849
324.755850816,286.986952654
342.332,252.596428752
225.700510386,187.23057115
256.171524138,240.323265659
313.815383051,286.363209821
338.577608,334.83974433
307.43974212,302.15432037
297.082486395,239.137953153
205.707909747,193.094054795
265.416508251,228.603156794
183.128416667,169.544940767
262.998564179,245.54944511
185.111269625,199.294975391
225.296915888,223.656133791
306.194179856,296.99847205
241.443433269,237.185122772
204.922680804,205.312979118
205.025925566,217.740902985
198.608171674,146.621020408
257.335574297,195.366664399
275.213793651,246.687568306
165.905572816,183.298317734
225.813881148,244.905207506
218.365161538,206.594796296
214.364215962,190.300025952
207.264064057,210.117265356
122.435836207,115.406167373
186.892071713,203.794953092
174.771776243,171.326622754
240.728737952,217.852744231
277.858477573,264.035676529
201.50416338,188.710089501
243.278666667,186.502477376
240.353436658,241.799146067
257.801597911,224.295315126
239.619474801,259.520452424
280.957420188,283.376488136
285.786909091,293.320488848
243.813706897,224.033952537
203.606424332,216.508316988
209.170244505,225.623267606
153.021858289,155.887663102
